subsidiary;customer_id;year;risk;Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;RGPD KO;Present residence since;Property;Age in years;Evaluation;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Téléphone;foreign worker
german;65;2010;0;no checking account;24;existing credits paid back duly till now;radio/télévision;3181;<100 DM;<1 years;4;female:divorced/separated/married;none;2;4;savings agreement/life insurance;26;14,2;none;own;1;skilled employee / official;1;yes;yes
german;182;2010;1;0 <= <200 DM;36;delay in paying off;business;4455;<100 DM;1<= < 4 years;2;male:divorced/separated;none;2;2;real estate;30;85,2;store;own;2;management/ highly qualified employee;1;yes;yes
german;31;2010;0;0 <= <200 DM;18;existing credits paid back duly till now;business;1913;>= 1000 DM;<1 years;3;male:married/widowed;none;1;3;real estate;36;8,3;bank;own;1;skilled employee / official;1;yes;yes
german;497;2012;1;0 <= <200 DM;36;existing credits paid back duly till now;furniture/equipment;9034;100 <= <500 DM;<1 years;4;male:single;co-applicant;2;1;unknown / no property;29;50,6;none;rent;1;management/ highly qualified employee;1;yes;yes
german;252;2011;0;>= 200 DM ;12;existing credits paid back duly till now;furniture/equipment;2251;<100 DM;1<= < 4 years;1;female:divorced/separated/married;none;3;2;car or other;46;17,9;none;own;1;unskilled - resident;1;none;yes
german;26;2010;0;<0 DM;6;existing credits paid back duly till now;furniture/equipment;1374;<100 DM;1<= < 4 years;1;male:single;none;2;2;real estate;36;99,9;bank;own;1;unskilled - resident;1;yes;yes
german;384;2011;0;>= 200 DM ;12;existing credits paid back duly till now;car (new);1330;<100 DM;<1 years;4;male:single;none;3;1;real estate;26;67,5;none;own;1;skilled employee / official;1;none;yes
german;294;2011;0;>= 200 DM ;42;critical account;car (used);4796;<100 DM;>=7 years;4;male:single;none;3;4;unknown / no property;56;79,1;none;for free;1;skilled employee / official;1;none;yes
german;109;2010;0;<0 DM;24;existing credits paid back duly till now;furniture/equipment;7721;no savings account;<1 years;1;female:divorced/separated/married;none;1;2;savings agreement/life insurance;30;14;none;own;1;skilled employee / official;1;yes;no
german;277;2011;0;no checking account;18;critical account;radio/télévision;2404;<100 DM;1<= < 4 years;2;female:divorced/separated/married;none;1;2;car or other;26;68,2;none;own;2;skilled employee / official;1;none;yes
german;34;2010;0;no checking account;12;critical account;business;1264;no savings account;>=7 years;4;male:single;none;1;4;unknown / no property;57;34,3;none;rent;1;unskilled - resident;1;none;yes
german;167;2010;1;<0 DM;18;existing credits paid back duly till now;furniture/equipment;1131;<100 DM;unemployed;4;female:divorced/separated/married;none;2;2;car or other;33;41,9;none;own;1;skilled employee / official;1;none;yes
german;284;2011;0;no checking account;15;critical account;furniture/equipment;1520;no savings account;>=7 years;4;male:single;none;2;4;savings agreement/life insurance;63;90,1;none;own;1;skilled employee / official;1;none;yes
german;142;2010;0;0 <= <200 DM;36;existing credits paid back duly till now;radio/télévision;4795;<100 DM;<1 years;4;female:divorced/separated/married;none;1;1;unknown / no property;30;9,2;none;own;1;management/ highly qualified employee;1;yes;yes
german;464;2012;0;0 <= <200 DM;12;existing credits paid back duly till now;retraining;754;no savings account;>=7 years;4;male:single;none;2;4;savings agreement/life insurance;38;54,6;none;own;2;skilled employee / official;1;none;yes
german;535;2012;0;no checking account;24;existing credits paid back duly till now;radio/télévision;3105;no savings account;<1 years;4;male:single;none;1;2;car or other;25;23,3;none;own;2;skilled employee / official;1;none;yes
german;939;2014;1;0 <= <200 DM;60;existing credits paid back duly till now;education;6288;<100 DM;1<= < 4 years;4;male:single;none;;4;unknown / no property;42;30,5;none;for free;1;skilled employee / official;1;none;yes
german;465;2012;0;no checking account;18;existing credits paid back duly till now;business;1950;<100 DM;4<= <7 years;4;male:single;none;3;1;car or other;34;49,6;store;own;2;skilled employee / official;1;yes;yes
german;844;2014;0;no checking account;24;all credits at this bank paid back duly;business;1559;<100 DM;4<= <7 years;4;male:single;none;;4;car or other;50;88,6;bank;own;1;skilled employee / official;1;yes;yes
german;974;2014;1;<0 DM;60;existing credits paid back duly till now;business;7297;<100 DM;>=7 years;4;male:single;co-applicant;;4;unknown / no property;36;60,8;none;rent;1;skilled employee / official;1;none;yes
german;248;2011;0;no checking account;6;no credits taken;car (new);1204;100 <= <500 DM;1<= < 4 years;4;male:single;none;2;1;unknown / no property;35;81,7;bank;rent;1;skilled employee / official;1;none;no
german;247;2011;0;no checking account;12;critical account;radio/télévision;717;<100 DM;>=7 years;4;male:single;none;1;4;real estate;52;97,2;none;own;3;skilled employee / official;1;none;yes
german;60;2010;1;<0 DM;36;critical account;furniture/equipment;6229;<100 DM;<1 years;4;female:divorced/separated/married;co-applicant;3;4;unknown / no property;23;60,9;none;rent;2;unskilled - resident;1;yes;yes
german;791;2013;1;0 <= <200 DM;21;existing credits paid back duly till now;business;1188;<100 DM;>=7 years;2;female:divorced/separated/married;none;;4;savings agreement/life insurance;39;97,8;none;own;1;skilled employee / official;2;none;yes
german;846;2014;0;0 <= <200 DM;21;existing credits paid back duly till now;furniture/equipment;3976;no savings account;4<= <7 years;2;male:single;none;;3;car or other;35;19,4;none;own;1;skilled employee / official;1;yes;yes
german;861;2014;0;no checking account;24;critical account;car (used);5804;>= 1000 DM;1<= < 4 years;4;male:single;none;;2;real estate;27;46,4;none;own;2;skilled employee / official;1;none;yes
german;413;2012;1;no checking account;12;critical account;business;2292;<100 DM;unemployed;4;male:single;none;2;2;car or other;42;21,2;store;own;2;management/ highly qualified employee;1;yes;yes
german;717;2013;0;no checking account;30;critical account;radio/télévision;3077;no savings account;>=7 years;3;male:single;none;;2;car or other;40;13,1;none;own;2;skilled employee / official;2;yes;yes
german;970;2014;0;<0 DM;11;critical account;car (new);3939;<100 DM;1<= < 4 years;1;male:single;none;;2;real estate;40;30,8;none;own;2;unskilled - resident;2;none;yes
german;646;2013;1;no checking account;36;delay in paying off;business;7980;no savings account;<1 years;4;male:single;none;;4;car or other;27;16,1;none;rent;2;skilled employee / official;1;yes;yes
german;124;2010;0;>= 200 DM ;10;critical account;car (new);781;<100 DM;>=7 years;4;male:single;none;1;4;unknown / no property;63;94,5;none;for free;2;skilled employee / official;1;yes;yes
german;450;2012;1;0 <= <200 DM;15;delay in paying off;repairs;1512;>= 1000 DM;1<= < 4 years;3;male:married/widowed;none;3;3;savings agreement/life insurance;61;47,7;store;own;2;skilled employee / official;1;none;yes
german;868;2014;0;no checking account;12;critical account;furniture/equipment;3331;<100 DM;>=7 years;2;male:single;none;;4;savings agreement/life insurance;42;71,3;store;own;1;skilled employee / official;1;none;yes
german;871;2014;0;no checking account;36;delay in paying off;furniture/equipment;7678;500 <= < 1000 DM;4<= <7 years;2;female:divorced/separated/married;none;;4;car or other;40;85,3;none;own;2;skilled employee / official;1;yes;yes
german;89;2010;0;<0 DM;18;existing credits paid back duly till now;car (new);2249;100 <= <500 DM;4<= <7 years;4;male:single;none;2;3;car or other;30;9,1;none;own;1;management/ highly qualified employee;2;yes;yes
german;900;2014;1;<0 DM;18;existing credits paid back duly till now;furniture/equipment;4153;<100 DM;1<= < 4 years;2;male:single;co-applicant;;3;car or other;42;26,2;none;own;1;skilled employee / official;1;none;yes
german;856;2014;0;no checking account;24;existing credits paid back duly till now;car (new);1474;100 <= <500 DM;<1 years;4;male:married/widowed;none;;3;real estate;33;66,6;none;own;1;skilled employee / official;1;yes;yes
german;329;2011;0;>= 200 DM ;36;existing credits paid back duly till now;radio/télévision;4473;<100 DM;>=7 years;4;male:single;none;2;2;car or other;31;32,4;none;own;1;skilled employee / official;1;none;yes
german;255;2011;0;0 <= <200 DM;9;existing credits paid back duly till now;furniture/equipment;2030;no savings account;4<= <7 years;2;male:single;none;3;1;car or other;24;53,6;none;own;1;skilled employee / official;1;yes;yes
german;590;2012;1;<0 DM;12;critical account;furniture/equipment;2246;<100 DM;>=7 years;3;male:single;none;2;3;savings agreement/life insurance;60;96,3;none;own;2;skilled employee / official;1;none;yes
german;946;2014;0;0 <= <200 DM;48;no credits taken;car (new);8358;500 <= < 1000 DM;<1 years;1;female:divorced/separated/married;none;;1;car or other;30;24;none;own;2;skilled employee / official;1;none;yes
german;620;2013;0;no checking account;12;existing credits paid back duly till now;car (new);640;<100 DM;1<= < 4 years;4;male:divorced/separated;none;;2;real estate;49;70,3;none;own;1;unskilled - resident;1;none;yes
german;447;2012;1;<0 DM;36;existing credits paid back duly till now;car (new);1842;<100 DM;<1 years;4;female:divorced/separated/married;none;3;4;car or other;34;33,1;none;own;1;skilled employee / official;1;yes;yes
german;360;2011;1;<0 DM;30;existing credits paid back duly till now;furniture/equipment;2406;<100 DM;4<= <7 years;4;female:divorced/separated/married;none;3;4;real estate;23;94;none;rent;1;skilled employee / official;1;none;yes
german;279;2011;1;no checking account;6;existing credits paid back duly till now;furniture/equipment;4611;<100 DM;<1 years;1;female:divorced/separated/married;none;3;4;savings agreement/life insurance;32;9,6;none;own;1;skilled employee / official;1;none;yes
german;712;2013;1;<0 DM;6;all credits at this bank paid back duly;education;1198;<100 DM;>=7 years;4;female:divorced/separated/married;none;;4;unknown / no property;35;57,9;none;for free;1;skilled employee / official;1;none;yes
german;446;2012;0;no checking account;9;critical account;education;1244;no savings account;>=7 years;4;female:divorced/separated/married;none;2;4;savings agreement/life insurance;41;45,8;none;rent;2;unskilled - resident;1;none;yes
german;627;2013;0;>= 200 DM ;6;existing credits paid back duly till now;furniture/equipment;2116;<100 DM;1<= < 4 years;2;male:single;none;;2;real estate;41;89,8;none;own;1;skilled employee / official;1;yes;yes
german;374;2011;0;no checking account;60;critical account;car (new);13756;no savings account;>=7 years;2;male:single;none;2;4;unknown / no property;63;84,9;bank;for free;1;management/ highly qualified employee;1;yes;yes
german;495;2012;0;<0 DM;12;critical account;car (new);2122;<100 DM;1<= < 4 years;3;male:single;none;3;2;real estate;39;21,9;none;rent;2;unskilled - resident;2;none;no
german;668;2013;0;no checking account;48;all credits at this bank paid back duly;business;3609;<100 DM;1<= < 4 years;1;female:divorced/separated/married;none;;1;real estate;27;63,8;store;own;1;skilled employee / official;1;none;yes
german;162;2010;0;no checking account;18;critical account;car (new);1055;<100 DM;<1 years;4;female:divorced/separated/married;none;3;1;savings agreement/life insurance;30;70,4;none;own;2;skilled employee / official;1;none;yes
german;951;2014;0;0 <= <200 DM;18;critical account;business;3590;<100 DM;unemployed;3;male:married/widowed;none;;3;car or other;40;61,6;none;own;3;unemployed/ unskilled  - non-resident;2;yes;yes
german;254;2011;0;no checking account;24;delay in paying off;furniture/equipment;4151;100 <= <500 DM;1<= < 4 years;2;male:single;none;2;3;savings agreement/life insurance;35;61,3;none;own;2;skilled employee / official;1;none;yes
german;932;2014;1;0 <= <200 DM;9;existing credits paid back duly till now;radio/télévision;1670;<100 DM;<1 years;4;female:divorced/separated/married;none;;2;car or other;22;12,9;none;own;1;skilled employee / official;1;yes;yes
german;872;2014;0;>= 200 DM ;6;critical account;car (new);1343;<100 DM;>=7 years;1;male:single;none;;4;real estate;46;52,4;none;own;2;skilled employee / official;2;none;no
german;398;2011;0;<0 DM;36;critical account;furniture/equipment;2348;<100 DM;1<= < 4 years;3;male:married/widowed;none;2;2;savings agreement/life insurance;46;43,5;none;own;2;skilled employee / official;1;yes;yes
german;356;2011;1;0 <= <200 DM;24;existing credits paid back duly till now;car (new);1246;<100 DM;<1 years;4;male:single;none;2;2;real estate;23;81,6;store;own;1;unskilled - resident;1;none;yes
german;594;2012;1;0 <= <200 DM;24;existing credits paid back duly till now;car (new);2718;<100 DM;1<= < 4 years;3;female:divorced/separated/married;none;3;4;savings agreement/life insurance;20;45,9;none;rent;1;unskilled - resident;1;yes;yes
german;990;2014;0;0 <= <200 DM;24;critical account;radio/télévision;1743;<100 DM;>=7 years;4;male:single;none;;2;savings agreement/life insurance;48;79;none;own;2;unskilled - resident;1;none;yes
german;836;2014;1;<0 DM;12;no credits taken;car (new);1082;<100 DM;1<= < 4 years;4;male:single;none;;4;car or other;48;86,5;bank;own;2;skilled employee / official;1;none;yes
german;679;2013;0;<0 DM;24;existing credits paid back duly till now;radio/télévision;2384;<100 DM;>=7 years;4;male:single;none;;4;real estate;64;94,6;bank;rent;1;unskilled - resident;1;none;yes
german;178;2010;0;<0 DM;6;critical account;radio/télévision;338;500 <= < 1000 DM;>=7 years;4;male:single;none;1;4;car or other;52;58,9;none;own;2;skilled employee / official;1;none;yes
german;411;2012;0;0 <= <200 DM;24;existing credits paid back duly till now;radio/télévision;1967;<100 DM;>=7 years;4;female:divorced/separated/married;none;3;4;car or other;20;29,2;none;own;1;skilled employee / official;1;yes;yes
german;779;2013;0;no checking account;36;critical account;car (used);5711;>= 1000 DM;>=7 years;4;male:single;none;;2;car or other;38;78,5;none;own;2;management/ highly qualified employee;1;yes;yes
german;445;2012;1;0 <= <200 DM;48;critical account;furniture/equipment;5096;<100 DM;1<= < 4 years;2;female:divorced/separated/married;none;1;3;car or other;30;46,1;none;own;1;management/ highly qualified employee;1;yes;yes
german;988;2014;0;no checking account;13;existing credits paid back duly till now;radio/télévision;1409;100 <= <500 DM;unemployed;2;female:divorced/separated/married;none;;4;real estate;64;74,8;none;own;1;skilled employee / official;1;none;yes
german;491;2012;0;no checking account;12;critical account;radio/télévision;1934;<100 DM;>=7 years;2;male:single;none;2;2;unknown / no property;26;66,1;none;own;2;skilled employee / official;1;none;yes
german;519;2012;0;<0 DM;6;existing credits paid back duly till now;car (new);1203;100 <= <500 DM;>=7 years;3;male:single;none;3;2;savings agreement/life insurance;43;49,7;none;own;1;skilled employee / official;1;yes;yes
german;126;2010;0;<0 DM;12;critical account;car (new);2121;<100 DM;1<= < 4 years;4;male:single;none;3;2;savings agreement/life insurance;30;75,4;none;own;2;skilled employee / official;1;none;yes
german;692;2013;0;0 <= <200 DM;15;existing credits paid back duly till now;repairs;2631;100 <= <500 DM;1<= < 4 years;3;female:divorced/separated/married;none;;2;real estate;25;38,6;none;own;1;unskilled - resident;1;none;yes
german;728;2013;1;<0 DM;18;existing credits paid back duly till now;radio/télévision;1882;<100 DM;1<= < 4 years;4;female:divorced/separated/married;none;;4;car or other;25;28,4;bank;rent;2;skilled employee / official;1;none;yes
german;10;2010;1;0 <= <200 DM;30;critical account;car (new);5234;<100 DM;unemployed;4;male:married/widowed;none;1;2;car or other;28;61,7;none;own;2;management/ highly qualified employee;1;none;yes
german;746;2013;0;<0 DM;13;critical account;business;1797;<100 DM;<1 years;3;male:single;none;;1;savings agreement/life insurance;28;52,6;bank;own;2;unskilled - resident;1;none;yes
german;917;2014;0;no checking account;10;existing credits paid back duly till now;car (used);2848;100 <= <500 DM;1<= < 4 years;1;male:single;co-applicant;;2;real estate;32;96,6;none;own;1;skilled employee / official;2;none;yes
german;509;2012;0;no checking account;24;existing credits paid back duly till now;radio/télévision;1413;<100 DM;1<= < 4 years;4;male:married/widowed;none;2;2;savings agreement/life insurance;28;25,9;none;own;1;skilled employee / official;1;none;yes
german;956;2014;0;<0 DM;24;critical account;radio/télévision;1231;>= 1000 DM;>=7 years;4;female:divorced/separated/married;none;;4;savings agreement/life insurance;57;45,7;none;rent;2;management/ highly qualified employee;1;yes;yes
german;996;2014;0;no checking account;12;existing credits paid back duly till now;furniture/equipment;1736;<100 DM;4<= <7 years;3;female:divorced/separated/married;none;;4;real estate;31;14,6;none;own;1;unskilled - resident;1;none;yes
german;58;2010;0;no checking account;36;critical account;radio/télévision;9566;<100 DM;1<= < 4 years;2;female:divorced/separated/married;none;1;2;car or other;31;35,8;store;own;2;skilled employee / official;1;none;yes
german;545;2012;0;no checking account;12;critical account;car (new);1255;<100 DM;>=7 years;4;male:single;none;2;4;real estate;61;84,7;none;own;2;unskilled - resident;1;none;yes
german;183;2010;1;<0 DM;21;all credits at this bank paid back duly;car (new);1647;no savings account;1<= < 4 years;4;male:single;none;3;2;savings agreement/life insurance;40;57,5;none;own;2;unskilled - resident;2;none;yes
german;357;2011;0;no checking account;12;critical account;radio/télévision;2331;no savings account;>=7 years;1;male:single;co-applicant;3;4;real estate;49;38;none;own;1;skilled employee / official;1;yes;yes
german;910;2014;0;0 <= <200 DM;9;existing credits paid back duly till now;car (new);3195;no savings account;1<= < 4 years;1;female:divorced/separated/married;none;;2;real estate;33;73,1;none;own;1;unskilled - resident;1;none;yes
german;325;2011;0;no checking account;18;critical account;car (new);1028;<100 DM;1<= < 4 years;4;female:divorced/separated/married;none;1;3;real estate;36;42,3;none;own;2;skilled employee / official;1;none;yes
german;677;2013;0;no checking account;24;critical account;furniture/equipment;5150;<100 DM;>=7 years;4;male:single;none;;4;car or other;33;14,1;none;own;1;skilled employee / official;1;yes;yes
german;187;2010;1;0 <= <200 DM;9;all credits at this bank paid back duly;car (used);5129;<100 DM;>=7 years;2;female:divorced/separated/married;none;1;4;unknown / no property;74;34;bank;for free;1;management/ highly qualified employee;2;yes;yes
german;911;2014;0;no checking account;36;delay in paying off;radio/télévision;4454;<100 DM;1<= < 4 years;4;female:divorced/separated/married;none;;4;real estate;34;95,1;none;own;2;skilled employee / official;1;none;yes
german;61;2010;0;0 <= <200 DM;9;existing credits paid back duly till now;business;1391;<100 DM;1<= < 4 years;2;male:married/widowed;none;1;1;real estate;27;17,5;bank;own;1;skilled employee / official;1;yes;yes
german;576;2012;0;no checking account;15;critical account;furniture/equipment;2788;<100 DM;4<= <7 years;2;female:divorced/separated/married;co-applicant;3;3;car or other;24;61,3;bank;own;2;skilled employee / official;1;none;yes
german;634;2013;1;no checking account;9;existing credits paid back duly till now;furniture/equipment;1980;<100 DM;<1 years;2;female:divorced/separated/married;co-applicant;;2;car or other;19;98,1;none;rent;2;skilled employee / official;1;none;yes
german;473;2012;1;<0 DM;9;existing credits paid back duly till now;car (new);654;<100 DM;1<= < 4 years;4;male:single;none;2;3;car or other;28;34,4;none;own;1;unskilled - resident;1;none;yes
german;2;2010;1;0 <= <200 DM;48;existing credits paid back duly till now;radio/télévision;5951;<100 DM;1<= < 4 years;2;female:divorced/separated/married;none;2;2;real estate;22;40,4;none;own;1;skilled employee / official;1;none;yes
german;240;2011;0;<0 DM;30;existing credits paid back duly till now;radio/télévision;2522;<100 DM;>=7 years;1;male:single;guarantor;3;3;savings agreement/life insurance;39;27,7;none;own;1;skilled employee / official;2;none;yes
german;261;2011;0;<0 DM;12;existing credits paid back duly till now;furniture/equipment;1657;<100 DM;1<= < 4 years;2;male:single;none;3;2;real estate;27;96,2;none;own;1;skilled employee / official;1;none;yes
german;841;2014;1;<0 DM;36;existing credits paid back duly till now;furniture/equipment;5179;<100 DM;4<= <7 years;4;male:single;none;;2;savings agreement/life insurance;29;22,9;none;own;1;skilled employee / official;1;none;yes
german;783;2013;0;0 <= <200 DM;12;no credits taken;retraining;1410;<100 DM;1<= < 4 years;2;male:single;none;;2;real estate;31;51,8;none;own;1;unskilled - resident;1;yes;yes
german;337;2011;0;0 <= <200 DM;13;existing credits paid back duly till now;radio/télévision;2101;<100 DM;<1 years;2;female:divorced/separated/married;guarantor;1;4;savings agreement/life insurance;23;92,1;none;own;1;unskilled - resident;1;none;yes
german;343;2011;0;0 <= <200 DM;18;existing credits paid back duly till now;radio/télévision;3213;500 <= < 1000 DM;<1 years;1;male:married/widowed;none;1;3;real estate;25;51,4;none;rent;1;skilled employee / official;1;none;yes
german;454;2012;0;no checking account;24;existing credits paid back duly till now;car (used);2670;<100 DM;>=7 years;4;male:single;none;1;4;car or other;35;80,1;none;own;1;management/ highly qualified employee;1;yes;yes
german;70;2010;0;no checking account;36;existing credits paid back duly till now;radio/télévision;2394;no savings account;1<= < 4 years;4;female:divorced/separated/married;none;1;4;car or other;25;65,8;none;own;1;skilled employee / official;1;none;yes
german;439;2012;0;<0 DM;42;critical account;repairs;3394;<100 DM;unemployed;4;male:single;co-applicant;1;4;car or other;65;5,5;none;own;2;unemployed/ unskilled  - non-resident;1;none;yes
german;821;2014;0;no checking account;12;existing credits paid back duly till now;car (new);1101;<100 DM;1<= < 4 years;3;male:married/widowed;none;;2;real estate;27;55,3;none;own;2;skilled employee / official;1;yes;yes
german;832;2014;1;<0 DM;18;existing credits paid back duly till now;car (new);1216;<100 DM;<1 years;4;female:divorced/separated/married;none;;3;car or other;23;70,6;none;rent;1;skilled employee / official;1;yes;yes
german;803;2014;0;<0 DM;20;critical account;furniture/equipment;4272;<100 DM;>=7 years;1;female:divorced/separated/married;none;;4;savings agreement/life insurance;24;24,6;none;own;2;skilled employee / official;1;none;yes
german;876;2014;0;0 <= <200 DM;11;critical account;car (new);1322;>= 1000 DM;1<= < 4 years;4;female:divorced/separated/married;none;;4;car or other;40;46,7;none;own;2;skilled employee / official;1;none;yes
german;780;2013;0;0 <= <200 DM;18;existing credits paid back duly till now;repairs;3872;<100 DM;unemployed;2;female:divorced/separated/married;none;;4;car or other;67;49,3;none;own;1;skilled employee / official;1;yes;yes
german;984;2014;1;<0 DM;36;existing credits paid back duly till now;car (used);8229;<100 DM;1<= < 4 years;2;male:single;none;;2;savings agreement/life insurance;26;88,1;none;own;1;skilled employee / official;2;none;yes
german;288;2011;0;0 <= <200 DM;48;delay in paying off;others;7582;100 <= <500 DM;unemployed;2;male:single;none;3;4;unknown / no property;31;22,4;none;for free;1;management/ highly qualified employee;1;yes;yes
german;651;2013;0;<0 DM;48;existing credits paid back duly till now;education;7476;<100 DM;4<= <7 years;4;male:single;none;;1;unknown / no property;50;8,5;none;for free;1;management/ highly qualified employee;1;yes;yes
german;323;2011;0;<0 DM;24;existing credits paid back duly till now;car (used);2910;<100 DM;4<= <7 years;2;male:single;none;2;1;unknown / no property;34;76,9;none;for free;1;management/ highly qualified employee;1;yes;yes
german;375;2011;1;0 <= <200 DM;60;all credits at this bank paid back duly;others;14782;100 <= <500 DM;>=7 years;3;female:divorced/separated/married;none;3;4;unknown / no property;60;45,3;bank;for free;2;management/ highly qualified employee;1;yes;yes
german;451;2012;0;no checking account;36;critical account;car (used);11054;no savings account;1<= < 4 years;4;male:single;none;1;2;car or other;30;68,6;none;own;1;management/ highly qualified employee;1;yes;yes
german;429;2012;0;no checking account;9;existing credits paid back duly till now;furniture/equipment;1313;<100 DM;>=7 years;1;male:single;none;3;4;car or other;20;48,6;none;own;1;skilled employee / official;1;none;yes
german;233;2011;0;no checking account;12;existing credits paid back duly till now;radio/télévision;2141;100 <= <500 DM;4<= <7 years;3;male:single;none;2;1;unknown / no property;35;52,1;none;own;1;skilled employee / official;1;none;yes
german;918;2014;1;<0 DM;6;existing credits paid back duly till now;car (new);14896;<100 DM;>=7 years;1;male:single;none;;4;unknown / no property;68;68,3;bank;own;1;management/ highly qualified employee;1;yes;yes
german;852;2014;0;no checking account;24;critical account;car (used);4042;no savings account;4<= <7 years;3;male:single;none;;4;savings agreement/life insurance;43;18,4;none;own;2;skilled employee / official;1;yes;yes
german;345;2011;0;>= 200 DM ;10;existing credits paid back duly till now;car (new);3949;<100 DM;<1 years;1;male:single;guarantor;3;1;savings agreement/life insurance;37;40,5;none;own;1;unskilled - resident;2;none;yes
german;828;2014;1;no checking account;18;no credits taken;business;4165;<100 DM;1<= < 4 years;2;male:single;none;;2;car or other;36;56,3;store;own;2;skilled employee / official;2;none;yes
german;829;2014;1;<0 DM;36;existing credits paid back duly till now;car (used);8335;no savings account;>=7 years;3;male:single;none;;4;unknown / no property;47;28,6;none;for free;1;skilled employee / official;1;none;yes
german;9;2010;0;no checking account;12;existing credits paid back duly till now;radio/télévision;3059;>= 1000 DM;4<= <7 years;2;male:divorced/separated;none;3;4;real estate;61;62,9;none;own;1;unskilled - resident;1;none;yes
german;685;2013;0;0 <= <200 DM;36;delay in paying off;business;9857;100 <= <500 DM;4<= <7 years;1;male:single;none;;3;savings agreement/life insurance;31;51,6;none;own;2;unskilled - resident;2;yes;yes
german;622;2013;1;no checking account;18;critical account;car (new);1530;<100 DM;1<= < 4 years;3;male:single;none;;2;savings agreement/life insurance;32;15,5;bank;own;2;skilled employee / official;1;none;yes
german;912;2014;1;0 <= <200 DM;24;critical account;furniture/equipment;4736;<100 DM;<1 years;2;female:divorced/separated/married;none;;4;car or other;25;54,5;bank;own;1;unskilled - resident;1;none;yes
german;722;2013;1;0 <= <200 DM;6;all credits at this bank paid back duly;education;433;>= 1000 DM;<1 years;4;female:divorced/separated/married;none;;2;savings agreement/life insurance;24;70,2;bank;rent;1;skilled employee / official;2;none;yes
german;661;2013;0;>= 200 DM ;12;existing credits paid back duly till now;radio/télévision;1297;<100 DM;1<= < 4 years;3;male:married/widowed;none;;4;real estate;23;19;none;rent;1;skilled employee / official;1;none;yes
german;143;2010;0;<0 DM;27;existing credits paid back duly till now;radio/télévision;3416;<100 DM;1<= < 4 years;3;male:single;none;2;2;car or other;27;5,7;none;own;1;management/ highly qualified employee;1;none;yes
german;955;2014;0;<0 DM;12;existing credits paid back duly till now;car (new);1893;<100 DM;1<= < 4 years;4;female:divorced/separated/married;guarantor;;4;savings agreement/life insurance;29;66,8;none;own;1;skilled employee / official;1;yes;yes
german;496;2012;1;<0 DM;24;existing credits paid back duly till now;furniture/equipment;2996;no savings account;1<= < 4 years;2;male:married/widowed;none;1;4;car or other;20;72,4;none;own;1;skilled employee / official;1;none;yes
german;628;2013;1;0 <= <200 DM;9;all credits at this bank paid back duly;car (new);1437;100 <= <500 DM;4<= <7 years;2;male:single;none;;3;unknown / no property;29;37,9;none;own;1;skilled employee / official;1;none;yes
german;937;2014;1;>= 200 DM ;9;existing credits paid back duly till now;radio/télévision;745;<100 DM;1<= < 4 years;3;female:divorced/separated/married;none;;2;real estate;28;14,8;none;own;1;unskilled - resident;1;none;yes
german;983;2014;0;>= 200 DM ;21;existing credits paid back duly till now;car (new);2923;100 <= <500 DM;1<= < 4 years;1;female:divorced/separated/married;none;;1;car or other;28;82,4;bank;own;1;management/ highly qualified employee;1;yes;yes
german;768;2013;0;no checking account;10;existing credits paid back duly till now;car (used);2901;no savings account;<1 years;1;female:divorced/separated/married;none;;4;real estate;31;72,7;none;rent;1;skilled employee / official;1;none;yes
german;330;2011;0;0 <= <200 DM;6;existing credits paid back duly till now;radio/télévision;1068;<100 DM;>=7 years;4;male:single;none;3;4;car or other;28;84,4;none;own;1;skilled employee / official;2;none;yes
german;500;2012;0;>= 200 DM ;6;critical account;car (new);1323;100 <= <500 DM;>=7 years;2;male:divorced/separated;none;2;4;car or other;28;36,6;none;own;2;skilled employee / official;2;yes;yes
german;641;2013;1;<0 DM;18;existing credits paid back duly till now;education;750;<100 DM;unemployed;4;female:divorced/separated/married;none;;1;real estate;27;48,1;none;own;1;unemployed/ unskilled  - non-resident;1;none;yes
german;738;2013;0;<0 DM;18;existing credits paid back duly till now;car (new);4380;100 <= <500 DM;1<= < 4 years;3;male:single;none;;4;car or other;35;30;none;own;1;unskilled - resident;2;yes;yes
german;166;2010;0;no checking account;6;existing credits paid back duly till now;furniture/equipment;2978;500 <= < 1000 DM;1<= < 4 years;1;male:single;none;1;2;car or other;32;9,9;none;own;1;skilled employee / official;1;yes;yes
german;66;2010;0;no checking account;27;existing credits paid back duly till now;repairs;5190;no savings account;>=7 years;4;male:single;none;3;4;savings agreement/life insurance;48;79,5;none;own;4;skilled employee / official;2;yes;yes
german;883;2014;0;0 <= <200 DM;30;critical account;car (new);2181;no savings account;>=7 years;4;male:single;none;;4;real estate;36;61,5;none;own;2;skilled employee / official;1;none;yes
german;423;2012;0;0 <= <200 DM;12;critical account;car (new);958;<100 DM;4<= <7 years;2;male:single;none;3;3;real estate;47;32;none;own;2;unskilled - resident;2;none;yes
german;317;2011;0;<0 DM;12;existing credits paid back duly till now;furniture/equipment;708;<100 DM;1<= < 4 years;2;male:single;guarantor;2;3;savings agreement/life insurance;38;56,3;none;own;1;unskilled - resident;2;none;yes
